# This table allows three kinds of mappings:
# 1: From major class to comma separated lemmas (place -> place,location)
# 2: From subclass to comma separated lemmas (city -> place,location,burg,metropolis...)
# 3: From markable string to comma separated markable strings (United States -> USA,US,America...)
# Sources: PPDB, Amir Zeldes (see licenses)
µl	μl
bst	tsb
buddhism	buddhist
buddhist	buddhism
budget	budgetary
budgetary	budget
buffalo	bison
bugle	bugler
bugler	bugle
bugs	insects
building	construction
building	house,building
bullet	ball
bulletin	newsletter
bulletins	newsletters
bullying	intimidation
bunnies	rabbits
bunny	rabbit
bureau	office
burgers	hamburgers
burka	burqa
burner	recorder
burqa	burka
burros	mules
businesses	companies
businesses	enterprises
buy	purchase
buybacks	redemptions
buyer	purchaser
buyers	purchasers
buzzer	beeper
by-catch	bycatch
by-laws	bylaws
by-products	byproducts
bycatch	by-catch
bye	goodbye
bylaws	by-laws
byproducts	by-products
cégeps	cegeps
côte	coast
c.p.	p.c.
cab	taxi
cable	wire
cables	wires
cabling	wiring
cacao	cocoa
cachots	dungeons
cacti	cactus
cactus	cacti
café	coffee
cafés	coffees
calcareous	limestone
calendar	timetable
calf	veal
calli	callus
callus	calli
calyx	chalice
camaraderie	comradeship
campground	camping
camping	campground
canal	channel
canals	channels
canceler	canceller
cancellation	annulment
canceller	canceler
candidacy	candidature
candidature	candidacy
candlestick	chandelier
canister	cartridge
canoe	canoeing
canoeing	canoe
canton	township
capabilities	capacities
capability	capacity
capacities	capabilities
capacity	ability
capacity	capability
capes	cloaks
capital	city,metropolis,municipality,borough,capital,place
caprine	goatmeat
captioning	subtitling
car	vehicle
carbonation	gasification
carbons	coals
carburetor	carburettor
carburettor	carburetor
carcase	carcass
carcases	carcasses
carcass	carcase
carcasses	carcases
card	map
cardboard	paperboard
cardigans	sweatshirts
cards	maps
caricatures	cartoons
carnations	eyelets
carnivore	carnivorous
carnivorous	carnivore
carolina	caroline
caroline	carolina
carpet	rug
carriage	transport
carrots	cores
cartographer	mapmaker
cartography	mapping
cartoons	caricatures
cartridge	canister
carver	sculptor
carvers	sculptors
carvings	sculptures
cascade	cascading
cascading	cascade
case-law	jurisprudence
casket	coffin
caskets	coffins
cassava	manioc
cassettes	tapes
castle	château
castle	chateau
catastrophe	disaster
catastrophes	disasters
catkins	kittens
causality	causation
causation	causality
caution	prudence
cbc	src
cc	dc
cdc	dcc
cease-fire	ceasefire
ceasefire	cease-fire
cegeps	cégeps
cellar	basement
cellulite	cellulitis
cellulitis	cellulite
cemetery	graveyard
censorship	censure
censure	censorship
cent	%
center	centre
centers	centres
centimeters	centimetres
centimetres	centimeters
centners	quintals
centralisation	centralization
centralization	centralisation
centre	center
centres	centers
cf	fc
cfc	cfcs
cfcs	cfc
cfdc	sadc
cfp	pcp
cfs	cws
château	castle
chain	string
chairman	president
chairmanship	presidency
chairmen	chairpersons
chairmen	presidents
chairperson	president
chairpersons	chairmen
chairpersons	presidents
chalice	calyx
chambers	rooms
chameleon	shape-shifter
champ	champion
champion	champ
chan	chen
chance	luck
chance	opportunity
chancelleries	chanceries
chancellery	chancery
chanceries	chancelleries
chancery	chancellery
chandelier	candlestick
chandelier	lustre
chang	zhang
change	changes
changes	change
channel	canal
channels	canals
character	nature
characterisation	characterization
characteristics	features
characterization	characterisation
charger	shipper
chart	graph
chart	graphic
charter	letter
chateau	castle
checkbook	chequebook
checks	controls
chelating	chelation
chelation	chelating
chemical	chemical,substance,material
chen	chan
chequebook	checkbook
cheung	zhang
chevalier	knight
chf	cso
chiasma	chiasmata
chiasmata	chiasma
chickenpox	varicella
chief	head
chiefs	heads
child	girl,boy,kid
chillers	coolers
chimp	chimpanzee
chimpanzee	chimp
chimpanzees	chimps
chimps	chimpanzees
china	chinese
chinese	china
chipmunk	squirrel
choir	chorus
chorus	choir
christenings	baptisms
chromatographic	chromatography
chromatography	chromatographic
chrome	chrome-plated
chrome-plated	chrome
chu	zhu
cia	cla
cilantro	coriander
cip	pac
circus	cirque
cirque	circus
cities	towns
city	city,metropolis,municipality,borough,place
city	town
civ	vic
civil	civilian
civilian	civil
civilian	civilians
civilians	civilian
civilisation	civilization
civilization	civilisation
cla	cia
clashes	confrontations
clavicle	collarbone
clean-up	cleaning
cleaning	clean-up
cleaning	cleansing
cleansing	cleaning
clemency	leniency
clerk	registrar
client	customer
clients	customers
cliffs	bluffs
climber	mountaineer
climbers	mountaineers
clinic	clinical
clinical	clinic
cloaks	capes
closet	cupboard
clothes	clothing
clothing	apparel
clothing	clothes
cloths	rags
clotting	coagulation
clumps	tufts
cma	dpr
cmd	mdc
cns	nscs
co-accused	co-defendant
co-accused	co-defendants
co-chair	co-chairman
co-chair	co-chairperson
co-chairman	co-chair
co-chairmen	co-chairs
co-chairperson	co-chair
co-chairpersons	co-chairs
co-chairs	co-chairmen
co-chairs	co-chairpersons
co-decision	codecision
co-defendant	co-accused
co-defendants	co-accused
co-development	codevelopment
co-existence	coexistence
co-factors	cofactors
co-financing	cofinancing
co-generation	cogeneration
co-incineration	coincineration
co-legislator	colegislator
co-legislators	colegislators
co-management	comanagement
co-modality	comodality
co-morbidities	comorbidities
co-morbidity	comorbidity
co-op	coop
co-operation	cooperation
co-operatives	cooperatives
co-ordinator	coordinator
co-ordinators	coordinators
co-production	coproduction
co-productions	coproductions
co-regulation	coregulation
co-sponsors	cosponsors
coagulation	clotting
coals	carbons
coast	côte
cob	dba
cock	dick
cockroaches	roaches
cocoa	cacao
codecision	co-decision
coders	encoders
codevelopment	co-development
codification	encoding
coexistence	co-existence
cofactors	co-factors
coffee	café
coffees	cafés
coffin	casket
coffins	caskets
cofinancing	co-financing
cogeneration	co-generation
cognac	brandy
cognacs	brandies
coherence	consistency
coherent	consistent
coincineration	co-incineration
cointegrating	cointegration
cointegration	cointegrating
cola	queue
colder	coldest
coldest	colder
colegislator	co-legislator
colegislators	co-legislators
collarbone	clavicle
college	university
collier	necklace
colones	colons
colons	colones
color	colour
colors	colours
colour	color
colours	colors
colts	foals
colza	rapeseed
coma	comma
comanagement	co-management
combat	combating
combatants	fighters
combating	combat
comitology	commitology
comma	coma
commandoes	commandos
commandos	commandoes
comment	commentary
commentary	comment
comments	observations
comments	remarks
commerce	trade
commercial	trade
commercialization	marketing
commission	committee
commissions	committees
commitology	comitology
committee	commission
committees	commissions
common	joint
communicability	transmissibility
communicable	transmissible
communication	communications
communications	communication
communitarisation	communitisation
communitarisation	communitization
communitisation	communitarisation
communitisation	communitization
communitization	communitarisation
communitization	communitisation
comodality	co-modality
comorbidities	co-morbidities
comorbidity	co-morbidity
companies	businesses
companies	enterprises
companies	firms
company	firm,company
compatriot	countryman
complementary	supplementary
compliance	conformity
composers	compositeurs
compositeurs	composers
compress	compressing
compressed	tablet
compressing	compress
comptroller	controller
compulsory	mandatory
computerisation	computerization
computerization	computerisation
comradeship	camaraderie
concentrator	hub
concentrators	hubs
concept	notion
concessionaire	dealer
concho	medallion
concierge	janitor
conclusions	findings
concrete	specific
concurrent	simultaneous
condensation	condensing
condensing	condensation
condiments	seasonings
conditioner	conditioning
conditioning	conditioner
conductor	bandleader
conf.207/1	conf.207/4
conf.207/4	conf.207/1
confectionary	confectionery
confectionery	confectionary
confidence	trust
configuration	settings
configuration	setup
confiscation	forfeiture
conformity	accordance
conformity	compliance
confrontations	clashes
congruence	congruency
congruency	congruence
conifer	coniferous
coniferous	conifer
consanguinity	inbreeding
conservative	curator
consideration	review
consignee	addressee
consignors	shippers
consistency	coherence
consistent	coherent
conspiracy	plot
consternation	dismay
constituents	voters
construction	building
consultative	advisory
contra-indications	contraindications
contraception	contraceptive
contraceptive	contraception
contractor	entrepreneur
contraindications	contra-indications
controller	comptroller
controller	driver
controllers	drivers
controls	checks
convection	convective
convective	convection
convent	nunnery
converged	convergent
convergent	converged
cookies	biscuits
cooking	kitchen
coolant	refrigerant
coolers	chillers
coop	co-op
cooperation	co-operation
cooperatives	co-operatives
coordinating	coordination
coordination	coordinating
coordinator	co-ordinator
coordinators	co-ordinators
cop	cp
coproduction	co-production
coproductions	co-productions
coregulation	co-regulation
cores	carrots
coriander	cilantro
corn	maize
corporatisation	corporatization
corporatization	corporatisation
corrective	remedial
corrosiveness	corrosivity
corrosivity	corrosiveness
cosponsors	co-sponsors
costume	suit
cottonwood	poplar
couch	sofa
cough	coughing
coughing	cough
council	board
counsellor	adviser
counsellor	advisor
counter-attacks	counterattacks
counter-claim	counterclaim
counter-claims	counterclaims
counter-proposal	counterproposal
counterattacks	counter-attacks
counterclaim	counter-claim
counterclaims	counter-claims
counterproposal	counter-proposal
countries	country
countries.	country.
country	countries
country	country,land,region,state,realm,duchy,nation,place
country.	countries.
countryman	compatriot
couples	pairs
court	tribunal
courts	tribunals
couture	sewing
covenant	pact
covenants	pacts
cp	cop
cpi	ipc
cpp	rpc
cpu	cpus
cpus	cpu
cr	vc
cra	arc
crafts	handicrafts
craftsmen	artisans
crayons	pencils
creation	establishment
credits	appropriations
cree	crees
crees	cree
crematoria	crematorium
crematorium	crematoria
crepes	pancakes
cribbing	anchor
crime	offence
crimes	offences
criminal	penal
crl	lcr
crocodiles	alligators
crocs	fangs
crops	cultures
cross-border	transboundary
cross-cutting	cross-sectoral
cross-finance	cross-financing
cross-financing	cross-finance
cross-member	crossmember
cross-sectoral	cross-cutting
cross-sectoral	intersectoral
crossmember	cross-member
crows	ravens
cry	crying
crying	cry
crystallisation	crystallization
crystallization	crystallisation
csa	apf
cso	chf
ct	tc
cube	hub
cuffs	handcuffs
cultures	crops
cupboard	closet
cups	mugs
curator	conservative
cure-all	panacea
curtains	drapes
customer	client
customers	clients
customization	customizing
customization	personalization
customizations	personalizations
customize	customizing
customize	personalize
customizing	customization
customizing	customize
cws	cfs
cx-03	cx-3
cx-3	cx-03
cyber-terrorism	cyberterrorism
cybercafés	cybercafes
cybercafes	cybercafés
cyberterrorism	cyber-terrorism
cylinders	bottles
czar	tsar
dæmon	daemon
dæmons	daemons
d-4	m-4
d-7	m-7
dad	daddy
dad	father
dad	papa
daddy	dad
daddy	papa
daemon	dæmon
daemons	dæmons
dairy	milk
damage	harm
dance	dancing
dancing	dance
dangerous	hazardous
dangers	hazards
darling	honey
dashboard	under-dash
daughter	girl
daughter-in-law	stepdaughter
dauphin	dolphin
dba	cob
dc	cc
dcc	cdc
dd	jj
ddr	rfi
de-duplication	dedupe
de-duplication	deduplication
de-icing	deicing
de-industrialisation	deindustrialisation
de-industrialization	deindustrialisation
de-industrialization	deindustrialization
de-institutionalization	deinstitutionalization
de-worming	deworming
dead	death
deadlock	impasse
deadlock	stalemate
dealer	concessionaire
death	dead
debate	discussion
debates	discussions
debug	purge
deca-bde	decabde
decabde	deca-bde
decapitation	beheading
decay	decomposition
decentralisation	decentralization
decentralization	decentralisation
deciduous	hardwood
declaration	statement
declarations	statements
decomposition	decay
decoys	lures
decriminalisation	decriminalization
decriminalization	decriminalisation
decrypt	decrypting
decrypting	decrypt
dedupe	de-duplication
dedupe	deduplication
deduplication	de-duplication
deduplication	dedupe
defamation	libel
defective	faulty
defence	defense
defense	defence
deficiencies	shortcomings
deflector	spoiler
degassing	gas-freeing
dehumanisation	dehumanization
dehumanization	dehumanisation
deicing	de-icing
deindustrialisation	de-industrialisation
deindustrialisation	de-industrialization
deindustrialization	de-industrialization
deinstitutionalization	de-institutionalization
demagoguery	demagogy
demagogy	demagoguery
demining	mine-clearance
democratisation	democratization
democratization	democratisation
demonisation	demonization
demonization	demonisation
demonstrators	protesters
demonstrators	protestors
demutualisation	demutualization
demutualization	demutualisation
denaturation	denaturing
denaturing	denaturation
denormalization	destandardization
dent	tooth
dentifrices	toothpastes
department	ministry
departmental	ministerial
departments	ministries
dependants	dependents
dependence	dependency
dependency	dependence
dependents	dependants
depletion	exhaustion
deployments	implementations
deportation	expulsion
deposit	filing
depreciation	amortization
deputy	assistant
deputy	vice
descendants	descendents
descendents	descendants
descent	ancestry
design	layout
designations	appellations
despair	desperation
despair	hopelessness
desperation	despair
destabilisation	destabilization
destabilization	destabilisation
destandardization	denormalization
destiny	fate
detachment	secondment
detachments	secondments
detective	inspector
deterrence	deterrent
deterrent	deterrence
deworming	de-worming
dhp-mps	dhpmps
dhpmps	dhp-mps
diagnoses	diagnostics
diagnosis	diagnostic
diagnostic	diagnosis
diagnostics	diagnoses
dialog	dialogue
dialogue	dialog
diarrhea	diarrhoea
diarrhoea	diarrhea
diarrhoea	diarrhoeal
diarrhoeal	diarrhoea
diastereoisomers	diastereomers
diastereomers	diastereoisomers
dick	cock
dieticians	dietitians
dietitians	dieticians
diffusion	dissemination
digitalisation	digitisation
digitisation	digitalisation
digitisation	digitization
digitization	digitisation
dike	dyke
dikes	dykes
dilatation	dilation
dilation	dilatation
diluents	thinners
dimer	dimeric
dimeric	dimer
dinitrogen	tetroxide
dinner	supper
dio	oid
dipolar	dipole
dipole	dipolar
dirham	dirhams
dirhams	dirham
dirigible	airship
dirigible	blimp
disaster	catastrophe
disasters	catastrophes
disc	disk
disciple	keymaster
disclosure	proactive
discoloration	discolouration
discolouration	discoloration
discontent	dissatisfaction
discos	discotheques
discotheques	discos
discs	disks
discussion	debate
discussions	debates
disease	illness,disease
diseases	illnesses
disgrace	shame
disinfecting	disinfection
disinfection	disinfecting
disinformation	misinformation
disk	disc
disk	disks
diskette	floppy
disks	discs
disks	disk
dismay	consternation
dispersal	dispersion
dispersion	dispersal
display	screen
disrupters	disruptors
disruptors	disrupters
dissatisfaction	discontent
dissemination	diffusion
dissertation	thesis
distillation	distn.
distn.	distillation
distrust	mistrust
dive	diving
diving	dive
djakarta	jakarta
doc	rfso
dock	wharf
doctor	physician
doctors	physicians
document	paper
documents	records
dollars	$
dolphin	dauphin
don	donation
don	gift
donation	don
donations	gifts
donut	doughnut
donuts	doughnuts
door-keepers	doormen
doormen	door-keepers
doughnut	donut
doughnuts	donuts
download	downloading
downloading	download
dozens	tens
dp	rfp
dpr	cma
dr	dr.
dr.	dr
draft	project
draftsman	draftsperson
draftsperson	draftsman
draftsperson	draftswoman
draftswoman	draftsperson
dramatist	playwright
dramatists	playwrights
drapes	curtains
drier	driest
driest	drier
drink	drink,beverage,libation,liquid
drink	glass
drinking	potable
drinks	beverages
driver	controller
drivers	controllers
drives	units
droogies	droogs
droogs	droogies
drop-down	dropdown
drop-down	pull-down
drop-out	dropout
dropdown	drop-down
dropout	drop-out
drowsiness	sleepiness
drowsiness	somnolence
drugs	medicines
drunkards	drunks
drunks	drunkards
dry	sec
dsp	dsps
dsps	dsp
dts	sdrs
dummy	manikin
dunams	dunums
dungeons	cachots
dunums	dunams
dwarf	midget
dwarfs	dwarves
dwarves	dwarfs
dwarves	midgets
dyeing	tincture
dyke	dike
dykes	dikes
dynamic	dynamics
dynamics	dynamic
e-books	ebooks
e-europe	eeurope
e-government	egovernment
e-health	ehealth
e-mail	email
e-mails	emails
e-text	etext
e.	excellency
e.cfm	e.cfm.
e.cfm.	e.cfm
e.html	e.html.
e.html.	e.html
ea	ee
earthquake	quake
easement	servitude
ebooks	e-books
ece	unece
ecg	ekg
eco-label	ecolabel
eco-taxes	ecotaxes
eco-tourism	ecotourism
ecolabel	eco-label
economiser	economizer
economizer	economiser
ecotaxes	eco-taxes
ecotourism	eco-tourism
ectomycorrhiza	ectomycorrhizae
ectomycorrhizae	ectomycorrhiza
ecu	ecus
ecus	ecu
eddies	vortices
edf	fed
edit	editing
editing	edit
editions	éditions
ee	ea
eeurope	e-europe
effective	efficient
effectiveness	efficiency
efficiency	effectiveness
efficient	effective
effluent	effluents
effluents	effluent
egoism	egotism
egoism	selfishness
egotism	egoism
egotism	selfishness
egovernment	e-government
ehealth	e-health
ekg	ecg
el-sheikh	sheikh
elders	seniors
election	elections
election	electoral
elections	election
electoral	election
electors	voters
electric	electrical
electrical	electric
elevation	altitude
elevators	silos
elimination	eradication
elite	elites
elites	elite
elk	wapiti
ellipse	oval
em.25/3	em.26/3
em.26/3	em.25/3
email	e-mail
emails	e-mails
embolism	embolus
embolus	embolism
emi	ime
emir	amir
emitters	transmitters
emphasizes	stresses
emphasizing	stressing
en	fr
enactment	promulgation
encoders	coders
encoding	codification
encyclopaedias	encyclopedias
encyclopedias	encyclopaedias
endophyte	endophytic
endophytic	endophyte
endoplasmic	reticulum
engine	motor
engineering	genius
engraver	printmaker
engraving	etching
enough	sufficient
enterprises	businesses
enterprises	companies
entrapment	trapping
